Updated Version Table:  
Version    Milestone Name                      Key Changes / "Diabolical" Shifts
0.0.1      The Gray Void                       Initial Ursina Python script. Basic red crosshair, gray screen, broken shaders.
0.1.0      Procedural Awakening                Added procedural texture generation in memory (Grass, Dirt, Stone). Movement enabled.
0.2.0      The Hand Update                     Added the "Arm/Hand" entity, head bobbing, and dynamic FOV for sprinting.
0.2.1      The Unlit Patch                     Fixed "White Screen" by removing broken fog and switching to unlit materials.
0.3.0      Survival Alpha                      Added hotbar selection (1-5), tree generation, and inventory UI.
1.0.0      The Rust Migration                  DIABOLICAL REWRITE #1. Abandoned Python/Ursina. Moved to Rust + WGPU for massive performance.
1.0.1      Memory Leak Fix                     Resolved buffer overflows in write_texture. Fixed math overflow panics.
1.1.0      The Glam Update                     Switched math backend to glam. Implemented Mouse Look and Cursor Locking.
1.1.1      Collision Patch                     Fixed coordinate system mismatch in world.rs so player stops falling through the void.
1.2.0      Meshing Overhaul                    Transitioned from naive instancing to Chunk Mesh Generation to fix intense lag.
1.3.0      The Atmosphere Update               Added Day/Night cycles, Beta 1.7.3 Style Fog, and Ambient Occlusion.
1.3.1      Visual Fidelity Fix                 Resolved the "grass panes" bug by fixing global neighbor culling and UV winding order.
1.3.2      Full Block Rendering Fix            Fixed blocks not rendering all six faces across all biomes (snow, grass, sand). Corrected face culling logic, eliminated compiler warnings, ensured consistent 3D block rendering.

1.3.3      Vertical Collision Patch             Fixed critical variable shadowing bug in check_collision_vertical (renamed _y to y). Added delta time clamping to prevent clipping through blocks on frame spikes.
1.4.0      The Full Cube Update                 DIABOLICAL REBUILD #2. Overhauled face culling system in renderer.rs. Every block now renders all 6 faces when exposed to air/transparent blocks. Full cubes guaranteed—no more "panes". Proper neighbor checking across chunk boundaries.
1.4.1      Tree Density Fix                     Replaced uniform modulo-based tree placement with deterministic hash-based spawn logic. Forest biome trees now appear naturally (~2% chance) instead of grid-like. Uses wrapping multiplication to prevent overflow.
1.4.2      Compiler Cleanup                     Removed #[allow(dead_code)] warnings. Properly integrated is_opaque() into renderer culling pipeline. Marked unused get_selected() as #[allow(dead_code)] pending interaction system.
1.5.0      The Raycast Update                   Implemented Fast Voxel Traversal raycasting algorithm. Added world.raycast() for block interaction detection, returning hit + placement positions. Enabled proper block breaking/placing.
1.5.1      Block Interaction System             Integrated mouse input in main.rs. Left-click breaks blocks (sets to Air). Right-click places blocks from hotbar. Eye position at 1.62 units above center.
1.5.2      Mesh Rebuild on Modification         Hooked block break/place into renderer.rebuild_chunks(). World changes now instantly reflect in chunk meshes.
1.5.3      Mutability Refactor                  Made world mutable in main.rs and threaded &mut World through event loop to satisfy borrow checker while still allowing interactions.
1.5.4      Raycasting Mutability Fix            t_max_x / t_max_y / t_max_z made mutable in raycast loop so traversal increments compile and run correctly.
1.5.5      Player Interaction Cleanup           get_selected() now routed through player.hotbar.get_selected(). Block placement uses selected hotbar item, fully functional and tested.

1.6.0      Inventory Overhaul                   Expanded inventory to 36 slots (9 hotbar + 27 storage). Implemented stacking, item structs, and clean slot indexing.
1.6.1      Item Drops & Pickup                  Added ItemEntity with position/velocity/count. Dropped items fall, bounce slightly, and can be picked up within radius. Inventory.add_item aggregates stacks.
1.6.2      Health & Death System                Introduced 20 HP health bar (10 hearts), fall damage, death state, and respawn with R key. YOU DIED + RESPAWN UI.
1.6.3      Stack Count Rendering                Slot items render with count numbers using bitmap font. Only non-1 stacks show text overlay.
1.6.4      Water Physics Alpha                  Implemented basic water levels (Water1–Water8). Swimming slows movement, falls into water cancel fall damage if deep enough.
1.6.5      Crafting Grid UI (2x2)               Added 2x2 crafting grid + output slot. Crafting grid stored in Inventory, output calculated by recipe matcher.
1.6.6      Player Height & Feel                 Adjusted player height and eye offset so logs/blocks line up properly in view. Head bob tuned to feel more Minecraft-like.
1.6.7      World Seeds                          Worlds keyed off numeric seeds. Same seed → identical terrain. Start of reproducible worlds system.

1.7.0      Custom RNG System                    DIABOLICAL REWRITE #3. Replaced rand crate with SimpleRng (LCG) for deterministic worldgen without external dep. All randomness (trees, ores, noise permutation) seeded.
1.7.1      Floating-Point Bugfixes              Fixed vz undefined in renderer, cleaned Operations type mismatch and f32/u32 warnings. Stabilized math across world and renderer.
1.7.2      Entity Borrow Fix                    Resolved borrow checker conflicts in entity update and world iteration by using take/retain pattern on self.entities.
1.7.3      Entity Rendering & Shadows           3D spinning items with bobbing and simple blob shadows added. Items now visually stand out and feel Minecraft-y.
1.7.4      Inventory Click Mapping              Corrected NDC ↔ screen-space mapping for mouse clicks. Inventory and hotbar slots now clickable under cursor reliably.
1.7.5      Unused Import Cleanup                Removed VecDeque, HashSet, Mat4, and unused CHUNK_SIZE_* imports. Cleaned compiler warnings without removing functionality.

1.8.0      The World Gen Overhaul               DIABOLICAL REBUILD #4. Beta 1.7.3-style terrain. Large Perlin rivers (width ~0.15) carve through land, sand beaches (~0.22) around water, smooth mountains (height 50–100), and diverse biomes (plains, forest, desert, mountains, snow).
1.8.1      Font Texture Fix                     Moved font tiles from atlas indices 16+ to 200+ so they no longer overwrite ore textures. Fixed “random ores in UI text” bug. Tweaked water alpha to ~150 for translucency.
1.8.2      Tree Rarity Tuning                   Forest tree probability ≈2%, plains ≈0.2%, other biomes ≈0%. Tree heights 4–7 blocks, sparse foliage (10% leaf holes), and no trees in river tiles.
